"","Date","Position","Plate","Strain","Rep","IPTG_uM","aTet_nM","Antibiotic","Media","Sealed","Induction_time","BA_2430","BA_7290","BA_810","bg_strain","IPTG_mM","Background_strain","Plasmid_1","Plasmid_2","Rha_mM","BA_1250","BA_21870","max_titer"
"1","2019-09-05","C1","1","BS3804",1,0,0,"amp, spec","mMOPS","N",NA,0.59223144081294,NA,0.853792155828646,0.55,NA,NA,NA,NA,NA,NA,NA,"0.85379216"
"2","2019-09-05","C2","1","BS3804",1,0,2.109375,"amp, spec","mMOPS","N",NA,0.604588862278511,NA,0.401778745575749,0.55,NA,NA,NA,NA,NA,NA,NA,"0.40177875"
"3","2019-09-05","C3","1","BS3804",1,0,4.21875,"amp, spec","mMOPS","N",NA,0.528644484928427,NA,0.59021469834436,0.55,NA,NA,NA,NA,NA,NA,NA,"0.59021470"
"4","2019-09-05","C4","1","BS3804",1,0,8.4375,"amp, spec","mMOPS","N",NA,0.545276435330159,NA,0.494514934644941,0.585,NA,NA,NA,NA,NA,NA,NA,"0.49451493"
"5","2019-09-05","C5","1","BS3804",1,0,16.875,"amp, spec","mMOPS","N",NA,0.604588862278511,NA,0.45091416367136,0.545,NA,NA,NA,NA,NA,NA,NA,"0.45091416"
"6","2019-09-05","C6","1","BS3804",1,0,33.75,"amp, spec","mMOPS","N",NA,0.720599479352486,NA,0.509966040972296,0.57,NA,NA,NA,NA,NA,NA,NA,"0.50996604"
"7","2019-09-05","C7","1","BS3804",2,0,0,"amp, spec","mMOPS","N",NA,0.574167274984863,NA,0.559276784231501,0.515,NA,NA,NA,NA,NA,NA,NA,"0.55927678"
"8","2019-09-05","C8","1","BS3804",2,0,2.109375,"amp, spec","mMOPS","N",NA,0.649905977297157,NA,0.585692360673458,0.49,NA,NA,NA,NA,NA,NA,NA,"0.58569236"
"9","2019-09-05","C9","1","BS3804",2,0,4.21875,"amp, spec","mMOPS","N",NA,0.528644484928427,NA,0.521870371178202,0.48,NA,NA,NA,NA,NA,NA,NA,"0.52187037"
"10","2019-09-05","C10","1","BS3804",2,0,8.4375,"amp, spec","mMOPS","N",NA,0.580126597379823,NA,0.392613812823866,0.475,NA,NA,NA,NA,NA,NA,NA,"0.39261381"
"11","2019-09-05","C11","1","BS3804",2,0,16.875,"amp, spec","mMOPS","N",NA,0.62361013698682,NA,0.554991498763541,0.48,NA,NA,NA,NA,NA,NA,NA,"0.55499150"
"12","2019-09-05","C12","1","BS3804",2,0,33.75,"amp, spec","mMOPS","N",NA,0.59837825245129,NA,0.772549230446473,0.5,NA,NA,NA,NA,NA,NA,NA,"0.77254923"
"13","2019-09-05","D1","1","BS3804",1,3.90625,0,"amp, spec","mMOPS","N",NA,0.568269169440789,NA,NA,0.545,NA,NA,NA,NA,NA,NA,NA," 0.5682692"
